taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;Candidatus Syntrophoarchaeum;Candidatus Syntrophoarchaeum caldarius;	0	0.000481	0.0002405	0	0	0	0	0	0.000304	0.000455	0	0.000329	0	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;Arc I group archaeon U1lsi0528_Bin055;	0	0.000405	0.0002025	0.000329	0	0.000329	0.000329	0.00038	0	0	0	0	0	0.0001645	0.000329	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;Arc I group archaeon U1lsi0528_Bin089;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019	0.00038	0	0	0
Archaea;Euryarchaeota;NA;Candidatus Altiarchaeales;NA;NA;Candidatus Altiarchaeales archaeon WOR_SM1_79;	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_16_68_12;	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon RBG_19FT_COMBO_69_17;	0	0	0	0	0	0	0	0	0	0	0	0.000329	0	0.000152	0.000304	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;candidate divison MSBL1 archaeon SCGC-AAA261F17;	0	0	0	0.000304	0	0.000557	0	0	0	0	0.000886	0	0	0	0	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;candidate divison MSBL1 archaeon SCGC-AAA382A20;	0	0.000278	0.000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;candidate divison MSBL1 archaeon SCGC-AAA385M02;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000607	0.001214	0.000481	0.000557	0.000405
Archaea;Euryarchaeota;NA;NA;NA;NA;candidate divison MSBL1 archaeon SCGC-AAA385M11;	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;uncultured marine group II euryarchaeote;	0	0	0	0	0.000329	0.000304	0	0.00038	0	0	0	0	0	0.00019	0.00038	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;uncultured marine group II/III euryarchaeote AD1000_88_G11;	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019	0.00038	0	0	0
Archaea;Euryarchaeota;NA;NA;NA;NA;uncultured marine group II/III euryarchaeote KM3_87_G01;	0.004428	0.001973	0.0032005	0.001139	0.00038	0.000329	0.00167	0.000582	0.002378	0	0.000278	0.00043	0	0.000759	0.001518	0.0002405	0.000481	0
Archaea;Euryarchaeota;Theionarchaea;NA;NA;NA;Theionarchaea archaeon DG-70-1;	0	0	0	0	0	0.00038	0.000278	0.000405	0.00043	0	0.000354	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Theionarchaea;NA;NA;NA;Theionarchaea archaeon DG-70;	0	0	0	0	0	0	0	0.000278	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus peptonophilus;	0	0	0	0	0.000304	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Candidatus Methanomethylophilus;Candidatus Methanomethylophilus sp. 1R26;	0	0	0	0.00038	0.000278	0.001037	0	0	0.000455	0	0	0	0	0	0	0	0	0
