"variable","block"
"UniRef90_I4F8P0","mG"
"UniRef90_S3JNJ4","mG"
"UniRef90_I4HZP5","mG"
"UniRef90_I4FII2","mG"
"UniRef90_I4FE54","mG"
"UniRef90_I4GES1","mG"
"UniRef90_I4F880","mG"
"UniRef90_I4FGT5","mG"
"UniRef90_I4HI34","mG"
"UniRef90_I4HRK3","mG"
"UniRef90_I4IL75","mG"
"UniRef90_I4HFV4","mG"
"UniRef90_I4I2T7","mG"
"UniRef90_I4HD18","mG"
"UniRef90_Q0RRS6","mG"
"UniRef90_I4FT10","mG"
"UniRef90_I4FHV6","mG"
"UniRef90_I4HI32","mG"
"UniRef90_I4FHI7","mG"
"UniRef90_S3J5N0","mG"
"UniRef90_I4FD24","mG"
"UniRef90_I4IRJ1","mG"
"UniRef90_E0U8A5","mG"
"UniRef90_I4IT71","mG"
"UniRef90_I4I5X5","mG"
"UniRef90_S3J410","mG"
"UniRef90_S3J2E3","mG"
"UniRef90_I4IQ12","mG"
"UniRef90_I4F5S5","mG"
"UniRef90_I4FJJ6","mG"
"UniRef90_I4FET9","mG"
"UniRef90_L7E258","mG"
"UniRef90_I4FBE5","mG"
"UniRef90_I4HFS1","mG"
"UniRef90_I4FGV6","mG"
"UniRef90_I4FA66","mG"
"UniRef90_S3KEJ9","mG"
"UniRef90_I4FHC4","mG"
"UniRef90_L8NNQ7","mG"
"UniRef90_I4F8N9","mG"
"UniRef90_I4HS20","mG"
"UniRef90_I4F7R9","mG"
"UniRef90_L8NUG3","mG"
"UniRef90_I4HW31","mG"
"UniRef90_I4F8P4","mG"
"UniRef90_S3J6L6","mG"
"UniRef90_I4IXR2","mG"
"UniRef90_S3JED9","mG"
"UniRef90_I4HQE8","mG"
"UniRef90_I4GEW7","mG"
"UniRef90_I4FHQ0","mG"
"UniRef90_I4F8P8","mG"
"UniRef90_I4I2F2","mG"
"UniRef90_S3JC22","mG"
"UniRef90_I4H4F4","mG"
"UniRef90_I4FC43","mG"
"UniRef90_I4G6T4","mG"
"UniRef90_I4FYR6","mG"
"UniRef90_S3JDQ2","mG"
"UniRef90_I4FHD1","mG"
"UniRef90_I4GVQ8","mG"
"UniRef90_S3JB52","mG"
"UniRef90_I4GYA7","mG"
"UniRef90_I4HUU4","mG"
"UniRef90_I4HD79","mG"
"UniRef90_I4FE99","mG"
"UniRef90_L7E4V0","mG"
"UniRef90_I4IJ23","mG"
"UniRef90_I4F8P1","mG"
"UniRef90_I4IG19","mG"
"UniRef90_N9QFT8","mG"
"UniRef90_I4I8N8","mG"
"UniRef90_I4FB00","mG"
"UniRef90_S3JAG6","mG"
"UniRef90_S3J5Z7","mG"
"UniRef90_I4F7S3","mG"
"UniRef90_S3JVU1","mG"
"UniRef90_I4GU06","mG"
"UniRef90_I4HHG0","mG"
"UniRef90_I4IRE3","mG"
"UniRef90_I4FF68","mG"
"UniRef90_I4IWJ4","mG"
"UniRef90_S3J7K7","mG"
"UniRef90_L7E3M1","mG"
"UniRef90_I4FE58","mG"
"UniRef90_I4GBZ8","mG"
"UniRef90_I4GUZ5","mG"
"UniRef90_L7DZJ0","mG"
"UniRef90_I4F8P3","mG"
"UniRef90_L8NV19","mG"
"UniRef90_I4F832","mG"
"UniRef90_I4F5S1","mG"
"UniRef90_I4IGI6","mG"
"UniRef90_L8NMA2","mG"
"UniRef90_I4F7R5","mG"
"UniRef90_I4GAU2","mG"
"UniRef90_S3K318","mG"
"UniRef90_I4GNK5","mG"
"UniRef90_I4FHQ3","mG"
"UniRef90_B0JGH2","mG"
"UniRef90_I4H1I4","mG"
"UniRef90_I4F7Q2","mG"
"UniRef90_S3JE91","mG"
"UniRef90_S3K9Z5","mG"
"UniRef90_I4FFY0","mG"
"UniRef90_I4FGL8","mG"
"UniRef90_I4HI37","mG"
"UniRef90_I4F5V1","mG"
"UniRef90_I4F7N6","mG"
"UniRef90_I4IK91","mG"
"UniRef90_I4G880","mG"
"UniRef90_I4HHG4","mG"
"UniRef90_A7B5X1","mG"
"UniRef90_I4I0E0","mG"
"UniRef90_L8NMA5","mG"
"UniRef90_I4GUZ8","mG"
"UniRef90_I4FIE1","mG"
"UniRef90_I4I303","mG"
"UniRef90_I4IJP8","mG"
"UniRef90_I4F798","mG"
"UniRef90_B0JKW6","mG"
"UniRef90_I4G359","mG"
"UniRef90_I4HEN2","mG"
"UniRef90_B0JJX1","mG"
"UniRef90_S3JH73","mG"
"UniRef90_S3K833","mG"
"UniRef90_I4H7Q4","mG"
"UniRef90_L8NWR8","mG"
"UniRef90_L8NRC9","mG"
"UniRef90_I4HWR5","mG"
"UniRef90_I4FA68","mG"
"UniRef90_I4FFE4","mG"
"UniRef90_I4F829","mG"
"UniRef90_I4FPV7","mG"
"UniRef90_I4H1L6","mG"
"UniRef90_I4I2F4","mG"
"UniRef90_I4F8E1","mG"
"UniRef90_S3JAS2","mG"
"UniRef90_I4G342","mG"
"UniRef90_I4F7Q3","mG"
"UniRef90_I4HPM6","mG"
"UniRef90_I4GU03","mG"
"UniRef90_I4FPE9","mG"
"UniRef90_I4FBP5","mG"
"UniRef90_I4G9N1","mG"
"UniRef90_L8NL61","mG"
"UniRef90_B0JV82","mG"
"UniRef90_I4GCN7","mG"
"UniRef90_I4FFX9","mG"
"UniRef90_S3KDC3","mG"
"UniRef90_S3J5K8","mG"
"UniRef90_S3J8H8","mG"
"UniRef90_S3JBE5","mG"
"UniRef90_I4I1Y1","mG"
"UniRef90_I4FCI9","mG"
"UniRef90_I4HF10","mG"
"UniRef90_I4GSF1","mG"
"UniRef90_B0JFJ4","mG"
"UniRef90_I4HZP3","mG"
"UniRef90_L7E4A2","mG"
"UniRef90_I4H4H0","mG"
"UniRef90_I4FYG5","mG"
"UniRef90_S3IZA5","mG"
"UniRef90_I4HZE1","mG"
"UniRef90_I4F7X6","mG"
"UniRef90_I4GK68","mG"
"UniRef90_I4F828","mG"
"UniRef90_I4ICF6","mG"
"UniRef90_L7E9F0","mG"
"UniRef90_I4FPC7","mG"
"UniRef90_L7E687","mG"
"UniRef90_I4FDA7","mG"
"UniRef90_I4HC11","mG"
"UniRef90_I4HG80","mG"
"UniRef90_I4HB91","mG"
"UniRef90_S3JBT3","mG"
"UniRef90_L7E7Z0","mG"
"UniRef90_I4G5H3","mG"
"UniRef90_L8NP83","mG"
"UniRef90_I4F6Z7","mG"
"UniRef90_I4FJF6","mG"
"UniRef90_I4I0Z0","mG"
"UniRef90_I4HRV2","mG"
"UniRef90_I4FCJ5","mG"
"UniRef90_S3JH62","mG"
"UniRef90_I4IT32","mG"
"UniRef90_I4HYK1","mG"
"UniRef90_I4F8P9","mG"
"UniRef90_I4FGT4","mG"
"UniRef90_I4HQ66","mG"
"UniRef90_I4HL85","mG"
"UniRef90_I4GM45","mG"
"UniRef90_I4FEB2","mG"
"UniRef90_I4HXY8","mG"
"UniRef90_I4FHM4","mG"
"UniRef90_B0JTU2","mG"
"UniRef90_I4F665","mG"
"UniRef90_I4FAB1","mG"
"UniRef90_I4HKB1","mG"
"UniRef90_B0JNA4","mG"
