taxon_name	mG19_06-15-1	mG19_06-15-2	mG19_06-15-3	mG19_07-23-1	mG19_07-23-2	mG19_07-23-3	mG19_09-10-1	mG19_09-10-2	mG19_09-10-3	mG19_09-29-1	mG19_09-29-2	mG19_09-29-3	mG19_11-3-1	mG19_11-3-2	mG19_11-3-3	mG19_12-4-1	mG19_12-4-2	mG19_12-4-3
Archaea;Thaumarchaeota;NA;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;	0.000531	0.000683	0.000607	0.000557	0.000278	0.000582	0.00043	0.000531	0.000481	0.000278	0.000329	0	0.000406	0.000393	0.000936	0.000658	0.000658	0.000658
Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;	0	0	0	0	0.000278	0.000481	0	0.000278	0.000405	0.00038	0	0	0	0.000721	0.00038	0	0	0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;	0.001417	0.002479	0.001948	0.002479	0.001948	0.003061	0.001771	0.002277	0.001872	0.001872	0.001417	0.000658	0.000584	0.0005575	0.001442	0.000683	0.000759	0.000607
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Bryocella;	0.000835	0.001898	0.0013665	0.001189	0.001189	0.001316	0.000936	0.001189	0.000911	0.000582	0.000658	0.00081	0	0.000506	0.000531	0.00019	0	0.00038
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;	0.000911	0.002378	0.0016445	0.001796	0.001493	0.002454	0.002505	0.002606	0.002226	0.002125	0.001392	0.000911	0.000635	0.0008615	0.001012	0.000544	0.000455	0.000633
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;	0.001037	0.001847	0.001442	0.002075	0.001619	0.001923	0.001746	0.001366	0.001341	0.000759	0.000886	0.000886	0	0.000873	0.001088	0.0004175	0.000405	0.00043
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;	0.002125	0.003137	0.002631	0.003694	0.003567	0.004883	0.003643	0.003947	0.003163	0.002682	0.002808	0.001493	0.001142	0.000938	0.001746	0.001265	0.000961	0.001569
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Silvibacterium;	0.000734	0.001569	0.0011515	0.001392	0.001442	0.001898	0.00172	0.001619	0.001316	0.001417	0.001214	0.000582	0.000508	0.0005575	0.000734	0.0003165	0.000304	0.000329
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terracidiphilus;	0.000759	0.001796	0.0012775	0.001113	0.001543	0.001442	0.001493	0.001088	0.000886	0.000633	0.000582	0.000658	0	0.0009235	0.000607	0.0004425	0.000455	0.00043
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;	0.002176	0.003744	0.00296	0.004073	0.003188	0.004579	0.004276	0.004023	0.002479	0.001796	0.002479	0.001796	0.000863	0.0015445	0.001847	0.000936	0.001012	0.00086
Bacteria;Acidobacteria;Blastocatellia;NA;NA;Chloracidobacterium;	0.002682	0.004984	0.003833	0.004352	0.00506	0.008653	0.005161	0.004099	0.004099	0.003036	0.006401	0.011284	0.00099	0.001292	0.002226	0.001189	0.001164	0.001214
Bacteria;Acidobacteria;Blastocatellia;NA;NA;Pyrinomonas;	0.0021	0.003491	0.0027955	0.003314	0.004301	0.01179	0.00544	0.003238	0.002226	0.001442	0.002859	0.001645	0.000482	0.0015185	0.001594	0.0006325	0.000582	0.000683
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;	0.001847	0.005085	0.003466	0.004959	0.001746	0.002581	0.002783	0.003061	0.001822	0.001999	0.001822	0.00081	0.000812	0.0012915	0.002555	0.0042	0.001366	0.007034
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;	0.002049	0.004048	0.0030485	0.004529	0.001113	0.001493	0.002252	0.002075	0.00167	0.001569	0.001392	0.000531	0.000736	0.00095	0.001771	0.0022895	0.001037	0.003542
Bacteria;Acidobacteria;NA;NA;NA;Thermoanaerobaculum;	0.001088	0.001973	0.0015305	0.00124	0.001037	0.001973	0.001872	0.0021	0.001265	0.000886	0.001316	0.000455	0.00033	0.001468	0.001164	0.000392	0.000354	0.00043
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Bryobacteraceae;Bryobacter;	0.002049	0.004099	0.003074	0.156306	0.050424	0.047261	0.036888	0.020139	0.082555	0.036762	0.013865	0.001619	0.000914	0.0022915	0.002606	0.001303	0.001113	0.001493
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;	0.003289	0.004478	0.0038835	0.015003	0.008071	0.016066	0.010803	0.012625	0.007514	0.00463	0.004706	0.001796	0.001726	0.033045	0.003669	0.0018975	0.001569	0.002226
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;	0.001139	0.003922	0.0025305	0.006022	0.01012	0.057989	0.029475	0.092498	0.006654	0.000961	0.007185	0.001923	0.013912	0.00731	0.064364	0.063403	0.05723	0.069576
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithrix;	0	0.000557	0.0002785	0.000405	0.000481	0.001316	0.00086	0.001442	0.000304	0	0.00038	0	0	0.0002275	0.000708	0.000569	0.000683	0.000455
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium;	0.000278	0.000886	0.000582	0.00038	0.00043	0.000658	0.000911	0.001139	0.000607	0.000557	0.000734	0.00043	0	0.0002785	0.000455	0.0001645	0.000329	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix;	0	0.000481	0.0002405	0.000481	0.00043	0.001265	0.000759	0.000708	0.000278	0	0.00043	0	0	0.006262	0.000557	0.0002655	0.000531	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;	0.002429	0.004073	0.003251	0.004149	0.007919	0.026237	0.013207	0.025073	0.003744	0.002049	0.004706	0.001771	0.00297	0.0025475	0.012524	0.0087665	0.011031	0.006502
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae;Candidatus Microthrix;	0.001113	0.001214	0.0011635	0.001417	0.001392	0.003618	0.003213	0.00463	0.001417	0.000354	0.000961	0.000658	0.00099	0.0011655	0.002125	0.0014925	0.001467	0.001518
Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;	0.000329	0.000683	0.000506	0.00043	0.000481	0.000886	0.000708	0.001113	0.000354	0	0	0.000329	0	0.000329	0.001341	0.0004045	0.000455	0.000354
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum;	0	0.000582	0.000291	0.000304	0.000329	0.000557	0.000557	0.000759	0	0	0	0	0	0.0051865	0.000658	0.000278	0.000278	0.000278
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;	0.004832	0.008071	0.0064515	0.007034	0.006958	0.009639	0.009311	0.014345	0.005996	0.005414	0.005515	0.004731	0.003377	0.001916	0.010373	0.004086	0.004908	0.003264
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;	0	0	0	0	0	0.000354	0	0.000329	0	0	0	0	0	0.000544	0.000455	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;	0	0	0	0	0	0.000455	0.000405	0.000734	0	0	0.000278	0	0	0.000291	0.001088	0.00019	0.00038	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Flaviflexus;	0	0	0	0	0	0	0	0.00038	0	0.000354	0.000304	0	0	0.0002025	0.000582	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;	0	0.000455	0.0002275	0.00043	0.001012	0.000658	0.000405	0.00043	0	0.000278	0	0	0	0.0003035	0.000405	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella;	0	0	0	0	0	0.000329	0.000405	0.000455	0	0	0	0	0	0.0003415	0.000607	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;	0.000304	0.00043	0.000367	0.000506	0.000531	0.000607	0.000405	0.000506	0.000405	0	0	0	0	0.0008475	0.000683	0	0	0
