geneID	mT19_11-3-1-1	mT19_11-3-1-2	mT19_11-3-2-1	mT19_11-3-2-2	mT19_11-3-3-1	mT19_11-3-3-2	mT19_12-4-1-1	mT19_12-4-1-2	mT19_12-4-2-1	mT19_12-4-2-2	mT19_12-4-3-1	mT19_12-4-3-2	mT19_6-15-1-1	mT19_6-15-1-2	mT19_6-15-2-1	mT19_6-15-2-2	mT19_6-15-3-1	mT19_6-15-3-2	mT19_7-23-1-1	mT19_7-23-1-2	mT19_7-23-2-1	mT19_7-23-2-2	mT19_7-23-3-1	mT19_7-23-3-2	mT19_9-10-1-1	mT19_9-10-1-2	mT19_9-10-2-1	mT19_9-10-2-2	mT19_9-10-3-1	mT19_9-10-3-2	mT19_9-29-1-1	mT19_9-29-1-2	mT19_9-29-2-1	mT19_9-29-2-2	mT19_9-29-3-1	mT19_9-29-3-2
O53_1709_O53_1709	0.20	0.60	0.00	0.19	0.11	1.47	1.10	0.74	0.42	0.00	1.43	1.32	0.46	2.84	3.68	0.00	0.00	0.24	0.09	0.00	0.40	0.00	0.10	0.00	0.67	1.15	0.00	0.00	3.42	0.40	0.00	0.00	0.00	0.00	0.00	0.91
O53_4246_O53_4246	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_728_O53_728	22.54	15.95	20.82	26.79	57.46	45.67	87.69	55.84	72.76	57.48	57.91	62.47	26.49	15.69	46.25	36.29	33.54	45.10	7.99	16.43	1.69	4.70	11.17	6.57	3.51	1.26	7.69	7.23	8.66	4.87	0.00	4.99	3.46	1.70	9.64	14.74
O53_908_O53_908	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_4010_O53_4010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_5384_O53_5384	62.05	59.74	78.88	72.23	78.22	92.67	259.02	235.33	170.24	145.15	183.56	176.07	237.52	69.31	98.88	234.93	367.29	191.02	178.97	123.32	229.85	269.65	188.96	233.82	116.62	104.97	154.56	183.08	196.42	204.76	97.59	73.29	162.00	161.59	295.04	309.11
O53_338_O53_338	2.64	0.65	2.59	1.69	5.51	6.21	7.60	3.39	2.27	2.00	0.53	4.28	2.62	3.60	8.80	10.47	0.00	6.00	4.52	0.00	2.56	6.10	3.28	6.03	9.45	3.64	0.00	6.62	8.63	3.09	1.64	0.00	4.91	4.05	0.00	4.67
O53_1335_O53_1335	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_2753_O53_2753	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
O53_1193_hsdM-1	5.56	4.74	4.76	4.43	8.39	9.55	22.32	24.88	16.36	16.65	22.88	27.00	11.89	11.08	15.80	11.29	7.20	5.83	6.11	5.70	6.61	9.32	12.50	12.04	10.78	12.56	6.70	8.52	10.49	8.15	6.87	4.45	4.32	6.41	9.21	9.20
O53_535_O53_535	92.24	79.69	68.18	53.05	74.60	41.66	123.41	111.04	92.17	98.16	132.53	142.29	61.92	45.26	64.00	31.50	45.66	40.27	24.88	40.05	31.68	43.45	42.65	35.87	46.88	35.36	40.32	42.18	67.86	46.63	68.89	61.11	47.18	39.35	26.65	36.40
