"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_5345_O53_5345",106.85,93.19,100.43,176.39,102.47,106.52,84.59,78.93,117.92,29.04,45.69,50.47,56.84,49.85,79.26,61.53,51.11,63.16
"O53_411_O53_411",6.29,0,5.84,29.51,0,25.89,9.65,8.94,0,0,0,0,32.74,62.13,23.99,0,10.76,7.13
"O53_1283_srpM",4.3,4.42,4.48,5.03,8.55,9.28,32.14,33.77,13.06,8.49,37.77,86.97,24.66,33.86,11.86,7.83,7.2,16.51
"O53_903_O53_903",23.13,28.19,31.27,74.56,57.19,61.09,54.49,50.34,60.77,40.63,43.71,57.7,51.83,45.5,78.27,43.18,46.53,43.64
"O53_5045_cysM",52.51,32.7,42.27,46.53,33.27,52.09,68.76,53.29,41.85,97.55,72.84,90.83,146.76,86.92,84.06,51.9,53.29,55.04
"O53_150_O53_150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4839_O53_4839",160.19,139.15,179.92,170.25,151.1,166.69,180.27,184.15,135.04,222.26,121.94,201.77,246.61,190.03,189.21,162.4,146.7,176.17
"O53_2696_petF",11785.83,13468.41,14745.04,7118.18,7535.1,8612.74,15456.25,18071.58,12273.93,22860.01,18020.43,24769.43,16109.38,14560.28,12365.68,16416.69,11478.23,11251.12
"O53_4065_O53_4065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2944_O53_2944",58.21,36.73,44.24,72.92,43.12,40.12,52.37,63.4,45.06,49.5,29.49,49.29,63.66,37.18,55.59,36.63,32.05,27.65
"O53_1331_O53_1331",26.22,0,0,23.76,16.88,65.85,74.3,75.04,87.29,15.96,20.83,0,0,0,0,0,0,13.67
"O53_3097_O53_3097",0.75,2.32,1.48,0.81,4.88,4.16,2.98,4.08,3.26,4.29,1.04,1.37,2.53,2.05,1.19,0.85,1.39,3.11
"O53_4983_O53_4983",263.57,175.44,195.84,481.62,354.36,448.7,255.22,269.6,219.86,176.56,211.49,161.69,188.74,190.19,244.82,192.55,168.39,170.32
"O53_2042_O53_2042",535.12,295.68,522.78,518.4,755.37,818.35,614.63,762.83,627.87,415.65,361.04,333.28,386.99,455.13,367.07,260.38,320.86,613.29
"O53_4809_O53_4809",77.02,79.52,92.01,66.64,64.41,69.78,59.58,66.54,96.07,34.74,25.32,28.28,35.51,24.24,42.38,40.44,44.91,70.99
"O53_1275_rnhB",122.98,125.36,158.11,221.98,183.3,255.82,145.81,227.85,167.3,216.06,137.99,220.59,260.64,183.54,152.09,163.83,155.05,299.75
"O53_4506_dnaA",19.07,50.29,123.84,59.64,44.19,64.73,29.38,176.95,371.21,12.34,18.61,83,38.05,48.08,107.63,19.03,106.15,368.1
"O53_2478_O53_2478",14.75,0,8.39,9.19,3.13,2.58,3.11,0,0,0,0,0,2.64,0,3.65,0,7.48,8.9
"O53_5305_O53_5305",22.29,19.13,21.76,19.54,12.33,11.03,35.85,36.27,19.56,17.85,15.86,16.71,15.78,19.07,20.15,29.01,21.58,18.15
"O53_3315_O53_3315",14.41,4.92,5.46,13.08,12.62,16.99,16.93,18.47,6.56,5.48,6.81,7.21,10.19,12.17,13.4,9.08,2.53,9.68
"O53_1324_fbt",530.78,406.59,409.97,1025.84,915.5,920.38,244.17,171.02,443.82,185.88,202.19,206.9,195.97,227.08,316.88,364.69,286.53,198.75
