"","mT19_11.3.1","mT19_11.3.2","mT19_11.3.3","mT19_12.4.1","mT19_12.4.2","mT19_12.4.3","mT19_6.15.1","mT19_6.15.2","mT19_6.15.3","mT19_7.23.1","mT19_7.23.2","mT19_7.23.3","mT19_9.10.1","mT19_9.10.2","mT19_9.10.3","mT19_9.29.1","mT19_9.29.2","mT19_9.29.3"
"O53_2239_psbU",11710.29,13302.37,13118.53,19887.47,21417.58,20234.97,12023.44,13336.97,14525.71,14045.03,12269.4,11764.91,9232.3,9252.22,8352.66,7370.97,9257.34,16153.67
"O53_843_O53_843",55.33,40.65,42.06,102.99,67.89,46.34,65.18,55.02,76.5,49.77,44.43,61.12,73.02,91,97.08,158.9,129.7,115.02
"O53_5291_O53_5291",76.96,37.04,28.76,53.07,27.78,18.77,29.66,23.59,48.04,17.56,50.67,43.59,69.15,12.26,30.28,16.71,31.24,21.03
"O53_1224_dnaG",5.37,4.16,6.2,7.14,6.82,10.94,9.68,12.77,6.64,5.23,5.35,6.02,6.61,3.73,5.35,1.54,3.03,7.5
"O53_1823_O53_1823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_5280_O53_5280",5.28,3.57,7.84,0,6,0.99,3.23,0,0,0,0,1.29,0,0,5.16,1.78,0,0
"O53_3108_metK",3974.01,4646.43,3952.34,4013.92,3669.43,2926.95,3482.65,2647.92,5903.74,4091.14,4250.52,3788.57,3662.52,3178.21,4443.06,3765.65,4426.04,4288.56
"O53_3879_O53_3879",404.33,266.06,307.01,237.88,191.44,173.11,213.87,193.33,188.62,180.35,99.71,121.27,140.14,132.26,129.27,133.84,101.57,101.88
"O53_4796_hup",139.18,105.36,144.24,114.12,96.28,101.25,152.53,166.52,105.89,115.73,133.28,187.58,349.53,180.55,155.38,85.35,92.7,150.5
"O53_978_O53_978",51.16,50.53,66.99,12.24,11.85,7.92,82.51,68.68,59.17,28.2,27.15,28.65,45.98,29.32,34.68,26.92,42.56,60.67
"O53_4513_O53_4513",48.05,58.41,120.46,127.98,206.03,211.03,72.08,112.04,88.36,19.59,26.63,31.65,22.86,30.01,24.04,11.57,35.45,64.65
"O53_4762_cobT",17.57,11.4,17.17,28.13,23.38,32.04,31.03,34.5,34.49,13.73,61.52,27.54,32.9,32.67,29.04,15.8,23.61,28.2
"O53_5284_O53_5284",92.43,47.78,62.41,61.23,73.44,59.86,53.84,54.66,32.95,84.5,49.94,72.37,92.54,39.49,103.66,46.65,63.64,32.91
"O53_226_O53_226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3811_O53_3811",125.84,171.98,183.92,359.2,312.82,281.68,352.08,375.05,422.59,421.88,527.46,577.41,562.38,428.71,650.71,356.56,396.04,721.1
"O53_1906_O53_1906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.82,77.06,0,179.97
"O53_4046_O53_4046",60.29,44.19,50.79,91.64,65.37,64.28,48.99,53.45,49.11,8.4,18.2,22.34,22.84,29.79,23.29,20.65,27.8,30.53
"O53_5312_O53_5312",60.72,42.58,52.54,140.3,109.51,123.26,54.84,38.75,79.92,20.12,17.8,30.78,26.71,28.54,28.63,23,19.46,33.06
"O53_5383_fabI",201.99,212.16,171.03,258.23,191.4,201.03,211.8,146.53,80.64,97.64,104.15,86.69,124.5,120.11,79.52,120.91,80.51,99
"O53_2962_acdS",668.06,545.56,522.46,1280.79,1289.27,1404.47,885.32,700.28,519.76,787.68,894.16,649.68,749.7,842.62,812.56,915.99,735.41,1014.76
"O53_4292_coxC",345.53,375.42,907.1,562.67,295.54,443.92,312.53,811.93,1742.11,238.31,352.84,601.14,575.8,600.74,719.58,299.22,683.85,1279.07
"O53_1837_O53_1837",13.82,9,17.19,22.09,23.17,19.5,16.37,31.69,32.55,9.36,34.99,15.99,6,22.51,13.44,8.36,33.22,14.2
"O53_568_O53_568",0,322.92,323.09,627.41,0,665.02,579.67,399.34,1141.49,634.11,220.8,436.06,0,1895.8,1914.47,2247.92,396.58,911.52
"O53_4353_cyaA",58.12,38.41,112.44,175.64,118.55,175.4,188.07,207.39,79.48,76.25,82.52,100.45,166.57,79.05,76.02,50.87,84.25,124.56
"O53_4917_O53_4917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2963_O53_2963",2.72,0.28,3.81,3.65,2.3,5.38,2.35,6.95,1.75,5.24,1.05,3.8,3.66,1.59,5.8,1.14,4.67,8.99
"O53_4850_O53_4850",1.4,0.79,1.23,3.51,2.24,3.36,3.15,2.46,2.18,1.48,0.48,0.71,1.31,1.57,1.2,0.61,0.47,0.68
"O53_4866_O53_4866",50.66,50.25,50.52,31.24,30.92,31.28,62.25,62.84,32.81,28.51,23.43,38.27,44.37,34.02,43.95,38.47,37.57,47.75
"O53_1579_O53_1579",989.58,1542.87,2031.72,958.06,1008.65,845.48,1439.03,2325.68,3580.39,2418.02,3100.96,2660.72,1363.18,1719.55,1710.35,737.15,3015.75,2111.11
"O53_3334_O53_3334",190.14,221.14,291.87,540.83,209.09,356.29,206.85,316.3,260.45,229.12,258.88,266.47,267.14,384.64,352.28,573.48,443.96,464.21
"O53_788_micE",15.73,21.49,37.44,11.58,12.36,13.24,49.99,48.16,40.15,16.96,9.72,11.58,7.27,6.77,9.02,3.22,9.94,17.56
"O53_3831_O53_3831",13.96,27.37,50.74,7.1,4.72,7.27,32.07,39.94,15.64,7.03,4.06,7.06,5.63,3.8,3.8,2.64,3.94,9.6
"O53_486_O53_486",21.83,16.7,26.51,41.29,16.93,22.85,9.35,17.47,19.33,9.31,5.45,9.95,15.82,5.2,27.13,17.43,15.09,23.99
"O53_5221_O53_5221",66.89,73.18,100.54,90.08,114.29,128.16,56.09,102.13,201.04,32.06,48.24,67.15,38.29,76.25,57.71,39.05,53.98,140.09
"O53_447_O53_447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_544_O53_544",60.7,58.47,55.84,147.87,53.51,54.37,108.94,81.21,41.97,39.99,32.35,42.57,60.29,31.53,34.95,42.61,24.44,38.46
"O53_2555_ymxG",108.46,104.93,160.33,93.6,88.52,122.83,212.84,267.01,216.17,140.09,116.32,139.99,122.29,120.31,149.51,109.24,132.78,213.7
"O53_4288_O53_4288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4991_O53_4991",1.16,0.9,2.67,2.31,2.05,2.94,5.8,3.46,9.23,0.76,0.7,0.7,0.09,0,1.51,0,0.28,1.73
"O53_2764_O53_2764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2506_O53_2506",6653.49,6251.88,8018.86,13250.23,13140.94,13516.59,5386.35,5633.84,4184.87,5623.23,10600.13,6310.65,7702,7510.69,8217.43,7557.27,7118.81,4261.91
"O53_2667_argJ",126.46,101.27,93.53,25.32,20.38,15.48,68.35,87.28,45.34,93.61,109.72,112.98,113.61,125.26,62.32,86.04,101.38,59.89
"O53_1979_O53_1979",31.76,14.13,22.45,48.67,65.97,110.74,67.76,59.18,24.92,29.01,22.88,37.96,11.96,0,25.62,0,18.38,55.15
"O53_3502_O53_3502",16.95,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,47.79,0,0
"O53_4464_O53_4464",5.59,6.87,12.83,8.8,12.24,16.92,17.17,20.33,24,4.89,5.59,6.29,3.71,2.53,4.6,4.1,6.13,9.44
"O53_795_O53_795",37.67,55.22,106.07,48.38,19.77,24.59,62662.95,46505.31,47.91,1768.26,29.9,20.6,36.58,43.19,76.35,24130.85,87.13,51.23
"O53_4971_O53_4971",76.73,127.23,201.39,176.6,259.15,215.37,214.61,334.75,332.64,107.39,89.7,74.94,26.13,66.12,55.29,7.47,81.59,185.73
"O53_2461_O53_2461",170.72,172.67,127.36,747.79,178.94,59.42,154.34,108.59,70.53,106.98,131.71,177.17,239.47,219.74,253.56,514.37,265.2,196.43
"O53_4136_O53_4136",184.01,148.06,120.76,109.58,78.93,67.95,101.37,78.49,67.81,135.03,103.46,136.99,211.09,144.78,198.19,248.5,169.38,98.95
"O53_4764_O53_4764",7.88,9.49,15.86,4.48,7.05,6.3,42.91,32.93,35.18,16.67,11.03,17.3,10.81,7.12,7.91,8.22,18.33,16.68
"O53_3755_O53_3755",2.92,5.19,6.48,10.17,8.13,6.19,12.61,23.01,23.67,7.37,10.15,6.74,4.47,12.09,3.44,0.08,4.27,15.64
"O53_1954_O53_1954",72.76,71.8,86.35,59.32,62.9,56.85,76.34,83.42,77.03,51.06,45.55,48.28,53.15,64.8,47.33,57.46,44.16,60.75
"O53_3076_O53_3076",0.48,0.53,1.57,2.15,1.61,3.32,3.17,4.84,2.2,0.38,0.43,0.45,0.07,0.23,0.37,0,0.61,1.28
"O53_3739_O53_3739",7.41,0,7.68,5.4,5.02,3.71,1.37,0,0,0,0,5.07,0,0,0,0,4.8,0
"O53_290_O53_290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2139_O53_2139",93.94,88.24,123.03,153.39,124.06,158.72,141.54,198.43,113.38,94.21,106.42,106.35,102.65,109.03,105.38,76.29,83.56,157.76
"O53_3623_O53_3623",17.06,3.75,11.21,10.1,13.78,23.35,32.42,44.02,5.64,5.9,1.44,14.52,8.65,3.72,1.44,9.31,6.36,15.61
"O53_324_O53_324",66.76,51.67,62.34,38.89,21.82,32.95,22.73,18.81,14.43,6.65,7.53,11.98,18.87,6.55,6.87,15.72,6.43,7.6
"O53_4019_O53_4019",167.79,174.46,192.75,498.45,343.99,221.85,281.6,280.44,268.32,143.02,142.98,145.62,138.89,148.42,169.23,183.96,137.96,216.18
"O53_3244_O53_3244",6.42,7.44,11.92,11,12.5,17.92,18.22,29.63,17.89,17.8,14.13,13.92,7.57,6.98,8.52,0.63,5.21,32.6
"O53_4163_O53_4163",21.34,21.94,17.48,28.35,20.73,18.15,15.4,16.11,8.3,7.99,6.67,12.62,12.26,12.15,11.74,7.33,9.92,8.82
"O53_3901_O53_3901",5.59,8.08,11.09,21.99,24.84,32.82,17.93,27.06,19.16,10.32,10.07,8.66,7.49,7.41,8.1,0.59,3.71,9.84
"O53_546_pilQ",148.81,108.48,144.93,124.2,97.93,130.91,125.29,190.96,172.54,123.82,142.97,207.9,236.8,122.34,244.29,205.96,301.34,208.81
"O53_3738_salX",14.05,15.33,15.51,27.56,12.09,21,20.07,20.15,25.31,14.05,14.7,27.29,24.01,18.46,39.35,25.16,78.1,36.05
"O53_864_cusR",31.5,17.7,28.87,42.19,27.12,30.77,71.06,49.13,45.28,35.63,44.28,55.43,57.03,73.48,48.03,52.1,31.05,60.15
"O53_5118_fusA",1689.3,1608.71,1554.43,1334.58,822.27,941.45,2170.62,2068.99,1508.7,2058.7,2015.21,2068.34,2653.14,2445.13,1670.54,2073.76,2415.53,2308.75
"O53_658_O53_658",470.89,196.36,178.71,171.57,152.11,134.24,52.3,24.21,0,272.46,238.86,95.39,281.88,83.36,383.62,238,227.52,85.34
"O53_1105_O53_1105",2.48,0.7,1.89,2.89,3.25,2.52,2.39,1.79,0.31,0.62,1.7,2.56,2.25,1.15,0.75,0.52,0.33,1.55
"O53_2257_panC",63.29,66.03,73.54,80.71,49.04,39.31,48.19,87.23,33.44,47.79,35.83,36.18,54.65,63.21,35.66,36.24,33.23,38.46
"O53_2669_O53_2669",2.61,3.26,4.54,9.84,9.5,5.53,7.01,9.57,9.73,3.16,5.7,2.89,7.69,2.38,10.16,3.93,7.67,5.77
"O53_1036_O53_1036",61.8,55.02,50.23,64.23,66.92,73.07,46.51,66.95,40.15,38.01,22.34,36.76,47.84,54.59,77.12,51.9,76.42,54.52
"O53_1955_O53_1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3694_gvpA-1",84817.13,84638.47,79853.87,11976.24,5995.87,1465.04,6037.76,1735.79,2618.9,19976.24,24096.49,31636.95,107837.37,74867.14,23729.14,42204.45,69395.49,14038.56
"O53_3488_O53_3488",17.69,23.28,13.05,12.37,7.34,4.66,20.74,14.21,0,7.76,3.83,13.8,12.1,8.31,7.73,9.22,2.28,5.28
"O53_907_O53_907",7.35,2.43,7.48,28.83,19.71,12.82,33.53,39.67,5.18,15.24,16.39,26.47,15.98,17.4,15.67,16.03,26.17,29.27
"O53_1929_O53_1929",40.33,39.78,47.82,53,43.38,33.23,44.69,31.49,44.98,39.7,50.75,104.18,77.97,83.18,98.7,65.48,40.4,67.11
"O53_497_O53_497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_2911_O53_2911",1.56,0,1.75,0,2.37,3.15,7,1.56,10.15,0,0,0,2.2,0,0,0,0,0
"O53_2493_O53_2493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4794_bstYIM",5.21,3.62,5.85,4.9,6.4,9.8,11.13,9.08,6.24,2.7,1.94,2.75,1.36,3.51,2.26,3.44,1.7,1.36
"O53_711_O53_711",254.03,139.29,154.64,499.16,187.08,343.93,299.86,316.5,207.61,257.05,244.1,333.15,482.06,273.29,369.67,256.97,246.73,366.09
"O53_2370_O53_2370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4561_O53_4561",4.15,8.09,14.66,20.87,24.2,21.74,22.73,41.72,94.09,11.33,12.3,15.34,5.68,5.16,12.41,2.57,12.86,65.81
"O53_5275_O53_5275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4674_O53_4674",19.95,39.26,47.77,38.85,41.2,37.54,57.15,51.18,55.54,16.74,18.1,16.17,6.74,13.15,10.91,3.91,21.12,25.21
"O53_388_O53_388",0,0,0,0,1.38,0,0,2.18,1.4,0,0.31,0,0.15,0,0,0,0,0.9
"O53_2725_O53_2725",411.9,657.6,816.02,813.21,824.16,760.16,706.21,1035.31,1100.37,501.95,449.7,408.22,332.74,360.79,463.01,359.4,570.88,890.03
"O53_4529_O53_4529",83.07,61.75,77.42,115.82,119.04,142.75,141.9,131.02,84.67,38.99,49.53,45.96,43.45,40.69,43.73,37.27,60.41,78.25
"O53_3756_O53_3756",11.41,4.69,6.1,8.07,9.13,7.96,14.64,19.01,18.65,4,0,7.97,4.82,1.14,5.19,23.2,0,11.15
"O53_3719_O53_3719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_3791_arsR",337.03,217.54,255.07,448.07,217.93,222.61,152.18,97.38,151.97,106.8,61.27,128.51,175.5,100.78,144.53,131.83,154.77,127.76
"O53_2418_spkB-2",3.18,4.75,6.33,3.79,4.89,8.74,19.07,13.95,11.02,5.26,3.77,3.72,3.34,2.68,3.34,1.15,1.52,4.6
"O53_2512_O53_2512",2.47,0.82,1.24,0,1.29,2.06,3.7,2.76,0.88,0,0.49,0,0.6,0.54,0.47,0,0,0
"O53_3464_O53_3464",7.26,10.7,20.36,27.13,38.1,37.74,34.06,37.93,18.09,10.41,9.02,9.43,4.28,4.61,3.26,0.47,4.02,11.32
"O53_5224_pacS",5.3,5.19,10.47,7.82,5.38,6.17,29.29,20.39,18.35,8.42,3.62,7.14,6.2,5.62,5.45,6.17,3.5,13.79
"O53_1784_ndhF-4",97.65,100.3,103.35,88.18,77.06,87.06,84.87,105.59,70.22,86.8,60.58,62.22,91.17,78.11,64.68,83.76,72.06,83.2
"O53_697_O53_697",0,0,0.17,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0
"O53_678_pgsA",113.79,119.24,113.54,147.74,152.13,138.87,130.41,112.91,79.16,64.94,57.92,65.91,63.4,77.35,58.11,69.52,64.13,108.05
"O53_2125_O53_2125",321.02,259.06,325.52,324.36,345.33,464.37,172.85,140.97,161.74,214.01,155.21,222.99,241.77,150.44,217.64,170.01,177.84,178.04
"O53_3700_yuiH",287.4,344.95,362.04,633.66,517.21,519.9,445.46,494.92,314.94,466.65,305.47,284.44,505.84,390.9,254.78,255.41,245.68,396.88
"O53_4616_O53_4616",212.83,181.3,263.16,241.31,234.72,243.72,254.41,254.77,253.16,162.56,171.54,226.05,308.34,228.23,337.6,234.98,219.02,199.84
"O53_2742_O53_2742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1661_cpcF",15.74,12.18,19.01,32.84,35.13,50.73,21.09,34.42,20.3,12.25,15.85,17.43,12.38,17.69,19.12,16.35,17.81,30.14
"O53_3399_asnS",97.34,92.85,99.58,88.86,89.93,74.32,111.3,118.35,88.58,64.13,53.82,59.76,80.97,76.46,63.34,52.62,49.26,71.29
"O53_2629_O53_2629",3.65,1.69,5.53,2.8,0.66,2.04,7.28,2.81,1.14,1.34,0.65,2.91,1.03,3.63,3.22,0.25,0.75,1.39
"O53_4599_O53_4599",49.06,51.36,56.08,270.13,221.29,234.7,87.6,96.8,35.47,58.03,31.29,23.06,56.03,43.12,44.1,29.51,16.34,35.56
"O53_4621_O53_4621",32.98,56.59,54.94,82.2,80.48,122.59,88.53,88.59,83.22,31.58,25.05,28.43,31.86,10.64,43.78,8.36,27.17,81.18
"O53_5026_O53_5026",12.11,10.98,15.82,15.38,9.75,12.47,17.6,20.01,16.97,9.43,7.26,10.19,14.64,11.92,15.13,4.5,5.65,13.73
"O53_887_serA",440.23,549.08,785.01,252.64,273.32,261.99,409.31,540.64,830.26,419.7,452.03,546.31,464.48,633.7,367.91,345.29,435.64,799.17
"O53_3824_O53_3824",0.99,0,0,0,4.75,3.25,8.68,5.41,0,6.81,10,0,1.5,5.09,0.95,0,4.02,0
"O53_1706_O53_1706",30.56,38.96,47.87,106.71,58.51,34.25,56.69,54.63,72.46,44.79,37.41,36.51,35.45,47.39,35.81,51.91,22.84,35.55
"O53_1517_O53_1517",4.24,1.74,4.78,7.9,3.82,3.61,4.49,4.12,2.71,4.74,2.91,4.66,6.92,7.06,5.96,3.28,2.24,4.05
"O53_2582_O53_2582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_947_O53_947",80.55,127.02,114.75,84.61,65.26,67.18,91.85,117.82,102.86,62.63,80.81,88.18,140.19,74.76,93.51,99.67,68.7,119.56
"O53_4961_O53_4961",2.29,2.6,1.97,13.06,8.2,13.14,9.15,15.19,11.53,3.54,1.34,1.47,2.02,2.67,3.62,0.9,1.74,7.28
"O53_4362_O53_4362",88.49,21.43,32.61,57.71,46.88,40.57,46.21,35.75,0,0,0,31.71,56.02,15.03,29.04,15.16,15.59,10.07
"O53_899_O53_899",7.16,4.37,7.77,11.1,7.32,13.34,13.17,11.06,4.38,1.26,0.73,3.64,3.51,4.05,2.8,1.21,1.1,0.82
"O53_2575_O53_2575",25.19,34.9,25.62,27.67,11.64,10.1,9.91,12.77,6.22,12.76,8.58,12.34,26.78,18.67,15.81,25.45,14.95,7.87
"O53_2162_O53_2162",43.16,28.48,44.19,68.59,45.54,33.01,50.85,30.18,78.58,53.1,31.06,58.77,49.73,43.31,72.63,48.26,34.5,54.84
"O53_509_ndh2",88.43,49.27,51.46,130.73,101.41,146.25,80.32,78.76,121.08,57.87,72.58,88.34,107.69,74.56,150.97,89.69,67.59,90.36
"O53_3531_O53_3531",29.95,0,8.73,0,0,44.92,13.1,17.95,32.05,0,14.3,14.08,0,0,19.46,0,0,0
"O53_105_O53_105",25.12,40.92,71.17,72.02,68.22,75.35,128.42,169.67,230.87,61.57,64.11,73.13,20.54,31.68,39.25,0.79,34.82,144.04
"O53_3298_O53_3298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1696_O53_1696",130.86,142.73,159.22,150.24,113.52,99.33,103.41,147.91,161.14,81.59,74.91,74.53,89.4,101.73,110.83,107.77,87.63,94.76
"O53_4736_O53_4736",12.29,6.67,11.48,44.35,22.09,13.86,22.83,17.77,23.62,4.94,15.68,12.03,12.1,9.98,13.31,6.65,11.68,25.02
"O53_2892_O53_2892",11.6,25.82,70.6,27.31,43.16,48.71,59.28,78.56,73.84,11.13,4.49,10.15,18.31,2.64,19.36,2.13,9.32,34.56
"O53_164_O53_164",7.6,5.24,12.86,15.67,5.87,9.52,11.28,12.44,4.8,8.29,7.12,14.65,13.61,12.11,9.25,5.72,5.5,8.77
"O53_2587_O53_2587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_4819_O53_4819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_894_O53_894",11.83,21.55,28.48,33.57,44.64,51.16,48.18,77.69,34,26.71,19.36,20.43,26.48,20.47,9.9,0.65,15.89,59.84
"O53_841_O53_841",9.87,22.62,18.08,52.92,62.72,84.52,47.42,72.22,67.47,22.53,45.87,20.33,3.02,12.01,8.86,0,11.34,56.55
"O53_1186_O53_1186",8.66,13.61,21.58,48.88,56.28,59.5,72.71,68.39,38.94,8.68,9.24,15.04,2.56,6.15,6.42,0,2.63,19.64
"O53_2539_O53_2539",22.07,21.52,27.95,64.63,36.29,50.12,42.01,48.47,45.15,14.03,22.72,27.72,25.03,27.15,41.91,23.41,21.49,38.92
"O53_2879_O53_2879",8.37,7.77,13.28,15.54,13.75,18.23,22.56,22.41,23.07,2.74,5.75,6.95,4.76,7.13,6.69,5.88,5.47,12.95
"O53_2324_O53_2324",93.55,172.56,246.67,106.5,77.2,64.6,343.64,412.66,238.29,131.26,107.6,112.05,140.96,121.09,111.3,82.49,148.08,315.65
"O53_1885_O53_1885",0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
"O53_2071_O53_2071",1.19,4.16,0,1.03,0,4.64,7.91,8.2,3.21,0,0,1.16,5.03,8.57,3.61,0,0,6.84
"O53_1371_dfa1",851.55,537.1,604.09,819.41,909.55,1033.34,500.91,282.63,527.3,188.75,246.57,230.62,199.33,190.69,318.13,242.04,217.81,255.78
"O53_3856_rpoD-2",1060.72,1159.17,1355.52,2817.6,2523.55,1790.96,3737.91,3029.96,2266.9,2476.98,3172.76,2703.79,3372.69,2658.12,3090.2,1705.11,1651.07,2879.79
"O53_98_O53_98",9.64,6.29,10.39,5.3,4.91,10.89,10.69,8.34,8.14,3.9,2.14,3.25,4.75,2.14,4.39,0.48,0.47,7.34
"O53_4056_O53_4056",147.08,148.26,195.06,439.76,347.01,533.11,233.65,356.7,258.22,280.78,192.17,288.66,361.71,247.58,293.15,176.86,199,369.33
"O53_1317_nmeSIM",51.42,44.49,59.43,52.96,36.3,46.82,54.77,58.76,37.78,38.14,20.52,37.21,47.84,27.75,38.27,19.18,24.89,33.57
"O53_4755_O53_4755",38.75,42.45,48.57,104.05,63.82,57.57,73.29,78.67,93.79,67.39,98.81,113.07,79.42,87.74,99.34,75.24,51.92,84.43
"O53_5267_O53_5267",5.71,11.18,13.71,39.39,25.73,45.06,44.49,50.85,65.26,28.75,27.62,18.94,2.95,9.31,14.7,0.3,15.18,61.14
"O53_4873_O53_4873",0,0,1.51,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0
"O53_2178_pknC",38.03,31.72,50.95,98.11,54.83,64.03,49.58,51.52,50.94,18.26,20.44,25.69,24.82,16.74,30.82,20.24,21.91,33.99
"O53_3684_O53_3684",27.5,20.15,14.84,50.76,38.41,39.62,48.34,55.1,33.85,11.46,20.53,22.03,25.46,23.57,19.2,13.1,28.23,28.77
"O53_4378_norA",255.95,163.22,232.43,782.88,531.09,604.21,138.12,193.09,133.07,101.89,94.38,102.26,264.69,192.4,174.56,208.56,230.94,294.32
"O53_4943_O53_4943",269.63,313.07,321.76,635.31,532.71,499.62,306.92,396.61,362.84,170.06,150.69,165.09,180.88,176.91,207.53,178.86,283.56,282.08
"O53_3626_O53_3626",89.28,98.05,94.53,219.44,130.16,169.9,101.62,124.8,82.12,95.62,95.05,106.04,121.07,132.87,128.55,121.66,97.8,82.82
"O53_2252_chlP",1972.84,4132.94,6307.29,757.5,851.53,670.2,5808.56,10425.5,5481.52,4217.95,3280.37,2664.23,3776.62,2286.38,1869.76,1865,3763.73,6682.28
"O53_3314_O53_3314",0.68,0,0,0,0.98,0,4.17,0,0,0,0,0.67,0,0,0,0,1.86,1.31
"O53_409_O53_409",953.12,948.32,819.28,1554.09,1110.53,1059.87,773.67,827.46,809.61,1325.27,907.72,1109.56,1389.1,1181.41,1327.08,1352.07,696.81,965.7
"O53_3440_O53_3440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_355_O53_355",6.03,4.83,9.72,9.09,6.54,29.79,16.54,7.04,13.97,0,2.79,5.64,6.22,0,0,0,0,3.17
"O53_1063_O53_1063",20.99,14.61,29.48,21.02,26.27,17.56,14.24,14.49,17.54,92.03,57.3,100.49,91.63,18.85,90.39,20.23,15.72,34.58
"O53_3907_pmm",124.12,150.45,125.45,114.73,82.65,80.18,120.83,120.82,147.5,124.02,91.88,85.84,98.28,77.7,95.35,93.65,111.38,104.06
"O53_2157_O53_2157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_95_O53_95",4.3,0,1.05,4.02,0.91,1.64,2.59,2.39,1.12,0,0,1.06,0,0,0.78,1.08,0.14,0.38
"O53_2998_O53_2998",1.21,1.67,2.41,2.04,1.42,1.62,3.68,4.53,5.43,1.96,1.47,3.13,2.12,2.13,2.53,1.96,1.03,1.54
"O53_5090_O53_5090",28.19,13.55,20.51,30.76,20.12,13.33,15.08,17.25,13.73,9.89,10.21,14.79,27.25,13.24,22.65,17.48,18.1,15.05
"O53_2641_ribB",247.35,264.63,229.32,734.02,466.91,423.74,193.22,168.91,232,214.25,165.4,206.78,238.66,209.03,263.5,237.8,181.43,252.42
"O53_4147_O53_4147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O53_1965_O53_1965",134.31,144.07,142.05,329.64,162.7,166.89,141.53,142.84,135.14,195.11,196.11,196.57,179.05,214.49,165.56,196.19,188.04,190.86
"O53_4545_O53_4545",1.91,0.48,2.44,3.09,2.66,5.62,14.49,20.22,4.54,0.99,3.99,2.39,9,3.54,4.54,1.56,1.33,6.41
"O53_4936_nadD",52.73,32.18,32.72,96.41,65.83,95.4,81.32,43.54,28.33,33.8,32.8,28.73,44.54,33.52,33.63,30.34,26.82,35.07
"O53_1095_O53_1095",71.56,25.24,80.52,65.78,47.31,87.75,40.52,72.11,100.1,0,14.28,82.38,16.04,39.05,36.57,14.48,41.58,140.26
"O53_5173_O53_5173",426.33,334.59,318.12,969.49,519.73,537.85,261.08,314.25,177.24,304.76,303.71,347.45,483.61,398.83,267.7,399.67,331.21,352.36
"O53_2883_O53_2883",12.69,3.4,10.58,2.96,2.36,1.67,5.27,3.05,2.96,2.48,1.63,3.49,9.51,6.31,8.72,4.55,3.84,5.52
"O53_2330_O53_2330",62.15,88.22,240.17,245.41,435.28,663.42,377.33,686.68,789.95,137.89,246.78,165.33,156.41,194.18,345.59,179.05,279.25,746.68
"O53_278_insB-3",0.54,0.49,0.27,0.2,0.58,0.99,1.1,0.73,0.74,0.32,0.04,0,0.11,0.21,0,0.05,0.08,0.3
"O53_5198_O53_5198",10.56,5.46,9.66,21.73,11.45,18.58,14.49,18.53,16.91,4.56,10.14,7.57,7.08,13.6,9.41,6.2,5.46,19.54
"O53_56_lysR",5.14,3.46,7.09,16.22,9.45,14.3,11.92,11.66,5.67,4.66,8.34,6.58,10.03,11.06,11.36,6.61,3.15,10.81
"O53_4554_ammnhB1",81.01,54.39,70.5,38.18,29.6,45.14,86.91,53.89,23.38,39.9,13.84,21.59,28.55,23.23,18.33,30.21,21.09,26.9
"O53_863_trk",28.51,21.14,25.29,25.23,27.65,41.72,38.43,27.54,21.63,8.76,4.78,6.8,6.71,4.63,5.66,8.91,7.92,6.86
